BASE_YM,SIGNGU_NM,SIGNGU_CD,AVRG_INCOME_PRICE
"202507","경상북도 김천시","47150","36487"
"202507","경상북도 문경시","47280","34431"
"202507","경상북도 봉화군","47920","33896"
"202507","경상북도 상주시","47250","34065"
"202507","경상북도 성주군","47840","33727"
"202507","경상북도 안동시","47170","35343"
"202507","경상북도 영덕군","47770","32305"
"202507","경상북도 영양군","47760","33077"
"202507","경상북도 영주시","47210","35268"
"202507","경상북도 영천시","47230","34120"
"202507","경상북도 예천군","47900","36741"
"202507","경상북도 울릉군","47940","35969"
"202507","경상북도 울진군","47930","35954"
"202507","경상북도 의성군","47730","32462"
"202507","경상북도 청도군","47820","33554"
"202507","경상북도 청송군","47750","33610"
"202507","경상북도 칠곡군","47850","35899"
"202507","경상북도 포항시 남구","47111","38965"
"202507","경상북도 포항시 북구","47113","38286"
"202507","광주광역시 광산구","29200","37646"
"202507","광주광역시 남구","29155","39547"
"202507","광주광역시 동구","29110","38419"
"202507","광주광역시 북구","29170","36821"
"202507","광주광역시 서구","29140","39371"
"202507","대구광역시 군위군","27720","33366"
"202507","대구광역시 남구","27200","33307"
"202507","대구광역시 달서구","27290","36712"
"202507","대구광역시 달성군","27710","37085"
"202507","대구광역시 동구","27140","36125"
"202507","대구광역시 북구","27230","35804"
"202507","대구광역시 서구","27170","32631"
"202507","대구광역시 수성구","27260","44548"
"202507","대구광역시 중구","27110","39043"
"202507","대전광역시 대덕구","30230","35462"
"202507","대전광역시 동구","30110","33210"
"202507","대전광역시 서구","30170","38942"
"202507","대전광역시 유성구","30200","43560"
"202507","대전광역시 중구","30140","36527"
"202507","부산광역시 강서구","26440","42280"
"202507","부산광역시 금정구","26410","35887"
"202507","부산광역시 기장군","26710","37642"
"202507","부산광역시 남구","26290","37521"
"202507","부산광역시 동구","26170","34179"
"202507","부산광역시 동래구","26260","39585"
"202507","부산광역시 부산진구","26230","35457"
"202507","부산광역시 북구","26320","36213"
"202507","부산광역시 사상구","26530","33508"
"202507","부산광역시 사하구","26380","34875"
"202507","부산광역시 서구","26140","34696"
"202507","부산광역시 수영구","26500","37244"
"202507","부산광역시 연제구","26470","37817"
"202507","부산광역시 영도구","26200","32670"
"202507","부산광역시 중구","26110","32109"
"202507","부산광역시 해운대구","26350","43288"
"202507","서울특별시 강남구","11680","62744"
"202507","서울특별시 강동구","11740","41550"
"202507","서울특별시 강북구","11305","34580"
"202507","서울특별시 강서구","11500","40086"
"202507","서울특별시 관악구","11620","35826"
"202507","서울특별시 광진구","11215","38543"
"202507","서울특별시 구로구","11530","36540"
"202507","서울특별시 금천구","11545","34806"
"202507","서울특별시 노원구","11350","38784"
"202507","서울특별시 도봉구","11320","36342"
"202507","서울특별시 동대문구","11230","36280"
"202507","서울특별시 동작구","11590","40416"
"202507","서울특별시 마포구","11440","42898"
"202507","서울특별시 서대문구","11410","38669"
"202507","서울특별시 서초구","11650","62264"
"202507","서울특별시 성동구","11200","44632"
"202507","서울특별시 성북구","11290","39312"
"202507","서울특별시 송파구","11710","48389"
"202507","서울특별시 양천구","11470","44640"
"202507","서울특별시 영등포구","11560","41777"
"202507","서울특별시 용산구","11170","69018"
"202507","서울특별시 은평구","11380","37784"
"202507","서울특별시 종로구","11110","42150"
"202507","서울특별시 중구","11140","41469"
"202507","서울특별시 중랑구","11260","35662"
"202507","없음(세종시)","36110","44303"
"202507","울산광역시 남구","31140","42634"
"202507","울산광역시 동구","31170","39390"
"202507","울산광역시 북구","31200","43730"
"202507","울산광역시 울주군","31710","39194"
"202507","울산광역시 중구","31110","40767"
"202507","인천광역시 강화군","28710","34437"
"202507","인천광역시 계양구","28245","35525"
"202507","인천광역시 남동구","28200","36554"
"202507","인천광역시 동구","28140","34587"
"202507","인천광역시 미추홀구","28177","34696"
"202507","인천광역시 부평구","28237","36224"
"202507","인천광역시 서구","28260","39024"
"202507","인천광역시 연수구","28185","44384"
"202507","인천광역시 옹진군","28720","34679"
"202507","인천광역시 중구","28110","38798"
"202507","전라남도 강진군","46810","33718"
"202507","전라남도 고흥군","46770","32182"
"202507","전라남도 곡성군","46720","33862"
"202507","전라남도 광양시","46230","40342"
"202507","전라남도 구례군","46730","33706"
"202507","전라남도 나주시","46170","36585"
"202507","전라남도 담양군","46710","35712"
"202507","전라남도 목포시","46110","35610"
"202507","전라남도 무안군","46840","37293"
"202507","전라남도 보성군","46780","32618"
"202507","전라남도 순천시","46150","38852"
"202507","전라남도 신안군","46910","32532"
"202507","전라남도 여수시","46130","38857"
"202507","전라남도 영광군","46870","34948"
"202507","전라남도 영암군","46830","34473"
"202507","전라남도 완도군","46890","33136"
"202507","전라남도 장성군","46880","34919"
"202507","전라남도 장흥군","46800","34145"
"202507","전라남도 진도군","46900","33284"
"202507","전라남도 함평군","46860","33729"
"202507","전라남도 해남군","46820","33202"
"202507","전라남도 화순군","46790","34842"
"202507","전북특별자치도 고창군","52790","34054"
"202507","전북특별자치도 군산시","52130","36540"
"202507","전북특별자치도 김제시","52210","33490"
"202507","전북특별자치도 남원시","52190","34677"
"202507","전북특별자치도 무주군","52730","33358"
"202507","전북특별자치도 부안군","52800","32878"
"202507","전북특별자치도 순창군","52770","33986"
"202507","전북특별자치도 완주군","52710","36318"
"202507","전북특별자치도 익산시","52140","35667"
"202507","전북특별자치도 임실군","52750","33626"
"202507","전북특별자치도 장수군","52740","33505"
"202507","전북특별자치도 전주시 덕진구","52113","38529"
"202507","전북특별자치도 전주시 완산구","52111","37840"
"202507","전북특별자치도 정읍시","52180","34405"
"202507","전북특별자치도 진안군","52720","33423"
"202507","제주특별자치도 서귀포시","50130","37346"
"202507","제주특별자치도 제주시","50110","36780"
"202507","충청남도 계룡시","44250","41383"
"202507","충청남도 공주시","44150","34436"
"202507","충청남도 금산군","44710","33619"
"202507","충청남도 논산시","44230","34079"
"202507","충청남도 당진시","44270","39467"
"202507","충청남도 보령시","44180","35236"
"202507","충청남도 부여군","44760","33510"
"202507","충청남도 서산시","44210","39748"
"202507","충청남도 서천군","44770","33294"
"202507","충청남도 아산시","44200","40344"
"202507","충청남도 예산군","44810","35026"
"202507","충청남도 천안시 동남구","44131","36373"
"202507","충청남도 천안시 서북구","44133","41333"
"202507","충청남도 청양군","44790","33814"
"202507","충청남도 태안군","44825","34611"
"202507","충청남도 홍성군","44800","36535"
"202507","충청북도 괴산군","43760","33319"
"202507","충청북도 단양군","43800","34088"
"202507","충청북도 보은군","43720","33579"
"202507","충청북도 영동군","43740","34310"
"202507","충청북도 옥천군","43730","33584"
"202507","충청북도 음성군","43770","34466"
"202507","충청북도 제천시","43150","35682"
"202507","충청북도 증평군","43745","36564"
"202507","충청북도 진천군","43750","36829"
"202507","충청북도 청주시 상당구","43111","37782"
"202507","충청북도 청주시 서원구","43112","37390"
"202507","충청북도 청주시 청원구","43114","38791"
"202507","충청북도 청주시 흥덕구","43113","41035"
"202507","충청북도 충주시","43130","35781"
